(x, y), Year, Month, Town, Block, Floor_Area, Flat_Model, Lease_Commence_Date, Price_Per_Square_Meter
(1, 80),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 81),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 82),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 83),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 84),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 85),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 86),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 87),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 88),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 89),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 90),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 91),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 92),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 93),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 94),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 95),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 96),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 97),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 98),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 99),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 100),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 101),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 102),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 103),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 104),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 105),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 106),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 107),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 108),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 109),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 110),2022,04,CHOA CHU KANG,684B,110,Improved,2002,3891
(1, 111),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 112),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 113),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 114),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 115),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 116),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 117),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 118),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 119),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 120),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 121),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 122),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 123),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 124),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 125),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 126),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 127),2022,04,CHOA CHU KANG,616,127,Improved,1996,4055
(1, 128),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 129),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 130),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 131),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 132),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 133),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 134),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 135),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 136),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 137),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 138),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 139),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 140),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 141),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 142),2022,04,CHOA CHU KANG,461,142,Premium Apartment,2000,4085
(1, 143),2022,04,PASIR RIS,238,147,Apartment,1993,4422
