"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 81)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 82)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 83)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 84)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 85)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 86)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 87)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 88)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 89)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 90)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 91)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 92)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 93)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 94)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 95)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 96)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 97)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 98)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 99)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 100)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 101)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 102)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 103)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 104)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 105)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 106)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 107)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 108)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 109)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 110)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 111)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 112)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 113)",2019,05,JURONG WEST,820,113,Model A,1993,2655
"(1, 114)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 115)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 116)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 117)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 118)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 119)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 120)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 121)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 122)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 123)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 124)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 125)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 126)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 127)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 128)",2019,05,JURONG WEST,817,128,Improved,1993,2813
"(1, 129)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 130)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 131)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 132)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 133)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 134)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 135)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 136)",2019,05,JURONG WEST,402,136,Model A,1984,2889
"(1, 137)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 138)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 139)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 140)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 141)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 142)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 143)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 144)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 145)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 146)",2019,05,JURONG WEST,831,146,Apartment,1993,3116
"(1, 147)",2019,05,JURONG WEST,695,147,Premium Apartment,1998,3524
"(1, 148)",2019,05,JURONG WEST,472,151,Maisonette,1985,3642
"(1, 149)",2019,05,JURONG WEST,472,151,Maisonette,1985,3642
"(1, 150)",2019,05,JURONG WEST,472,151,Maisonette,1985,3642
